Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
8714325;Cropani Marina;Cropani Marina;;P;PPL;IT;Italy;;03;CZ;079036;;1984;;19;Europe/Rome;2014-05-01;Italy;38.92376, 16.8108
8948761;Casano-Dogana-Isola;Casano-Dogana-Isola;Casano-Dogana-Isola;P;PPLA3;IT;Italy;;08;SP;011020;;6704;;40;Europe/Rome;2014-05-20;Italy;44.07565, 10.03381
8948816;Roè;Roe;Roe,Roè;P;PPLA3;IT;Italy;;09;BS;017164;;4058;;235;Europe/Rome;2014-05-20;Italy;45.62576, 10.4996
8948858;Cava-Cuculera Nobile;Cava-Cuculera Nobile;Cava-Cuculera Nobile;P;PPL;IT;Italy;;03;CZ;079023;;3226;;104;Europe/Rome;2014-04-13;Italy;38.89383, 16.62226
8948894;Trecella;Trecella;Trecella;P;PPL;IT;Italy;;09;MI;015178;;2704;;125;Europe/Rome;2014-04-13;Italy;45.51498, 9.47905
8948906;Settimo;Settimo;Settimo;P;PPL;IT;Italy;;03;CS;078081;;2611;;171;Europe/Rome;2014-04-13;Italy;39.39158, 16.23998
8948912;Romito Magra;Romito Magra;Romito Magra;P;PPL;IT;Italy;;08;SP;011002;;2558;;10;Europe/Rome;2014-04-13;Italy;44.09838, 9.9318
8948929;Scannabue-Cascine Capri;Scannabue-Cascine Capri;Scannabue-Cascine Capri;P;PPL;IT;Italy;;09;CR;019066;;2426;;85;Europe/Rome;2014-04-13;Italy;45.39306, 9.59302
8948966;Millepini;Millepini;Millepini;P;PPL;IT;Italy;;09;MI;015185;;2098;;112;Europe/Rome;2014-04-13;Italy;45.46967, 9.33763
8948993;Pasta;Pasta;Pasta;P;PPL;IT;Italy;;12;TO;001214;;1986;;266;Europe/Rome;2014-04-13;Italy;45.01131, 7.55243
8948995;San Cipriano-S.Barbara-Centinale;San Cipriano-S.Barbara-Centinale;San Cipriano-S.Barbara-Centinale;P;PPL;IT;Italy;;16;AR;051013;;1977;;142;Europe/Rome;2014-04-13;Italy;43.56863, 11.48467
8949014;Macine-Borgo Loreto;Macine-Borgo Loreto;Macine-Borgo Loreto;P;PPL;IT;Italy;;10;AN;042012;;1923;;133;Europe/Rome;2014-04-13;Italy;43.48611, 13.08725
8949023;Valenzatico;Valenzatico;Valenzatico;P;PPL;IT;Italy;;16;PT;047017;;1901;;41;Europe/Rome;2014-04-13;Italy;43.8668, 10.96497
8949024;Savonera;Savonera;Savonera;P;PPL;IT;Italy;;12;TO;001090;;1899;;274;Europe/Rome;2014-04-13;Italy;45.11368, 7.61506
8949026;Castello;Castello;Castello;P;PPLA3;IT;Italy;;09;VA;012045;;1885;;301;Europe/Rome;2014-05-20;Italy;45.9498, 8.67566
8949030;San Biagio;San Biagio;San Biagio;P;PPL;IT;Italy;;20;PD;028089;;1865;;14;Europe/Rome;2014-04-13;Italy;45.37518, 11.73713
8949093;Laura;Laura;Laura;P;PPL;IT;Italy;;04;SA;065025;;1624;;3;Europe/Rome;2014-04-13;Italy;40.4322, 14.98886
8949103;Saletto;Saletto;Saletto;P;PPL;IT;Italy;;20;PD;028099;;1611;;16;Europe/Rome;2014-04-13;Italy;45.474, 11.86042
8949109;Pratissolo;Pratissolo;Pratissolo;P;PPL;IT;Italy;;05;RE;035040;;1586;;105;Europe/Rome;2014-04-13;Italy;44.60416, 10.674
